MEDIA_CN;MEDIA_CH;MEDIA_LP;MEDIA_MT;MEDIA_RED;TIPO;INSE
510.99;576.5;521.62;525.71;584.00;1;1
527.59;589.47;539.88;549.59;565.00;1;1
536.74;607.88;575.99;561.27;676.47;1;2
520.39;578.39;528.88;523.04;595.56;1;2
517.35;595.17;539.87;524.89;552.31;1;1
458.39;545.56;480.33;447.33;542.70;2;1
455.34;539.24;478.28;435.96;508.40;2;1
478.1;548.34;499.26;455.67;515.28;2;1
445.99;525.08;471.16;426.29;476.36;2;1
471.23;545.93;497.79;441.43;508.00;2;1
464.73;530.37;482.51;427.32;494.67;2;1
436.86;519.75;457.85;424.29;422.50;2;1
470.12;543.55;482.69;438.2;501.41;2;1
453.91;550.36;476.58;435.3;506.19;2;1
482.66;562.12;477.04;477.8;478.82;2;1
469.48;548.25;461.05;445.17;518.33;1;1
453.44;537.8;462.38;421.28;429.29;2;1
470.23;539.53;464.77;420.88;476.88;2;1
464.37;534.18;485.83;440.66;493.68;2;1
447.01;545.49;462.84;416.75;513.33;2;1
477.82;544.9;480.83;419.44;502.73;2;1
465.79;555.95;481.85;443.39;501.29;2;1
454.38;557.87;477.23;442.93;555.86;2;1
494.99;567.15;509.48;501.14;530.00;1;1
461.76;541.98;475.59;440.33;480.71;2;1
442.92;531.05;455.79;433.4;470.81;2;1
429.95;533.15;488.09;397.33;514.55;2;1
448.92;517.4;428.92;394.47;408.00;2;1
456.74;535.36;465.74;450.31;447.69;2;1
432.76;523.85;458.06;427.84;470.48;2;1
455.46;536.74;470.7;440.1;508.53;2;1
473.14;543.43;493.22;470.43;521.82;2;1
453.45;519.48;475.96;459.9;485.45;2;1
444.71;537.42;473.2;432.98;485.82;2;1
434.25;535.72;469.34;429.25;511.48;2;1
430.48;516.25;455.35;389.43;509.30;2;1
475.44;566.83;473.17;456.76;493.75;1;1
514.86;606.13;550.7;493.58;667.44;1;1
430.8;515.59;437.34;433.32;449.41;2;1
434.57;519.27;459.31;413.26;500.62;2;1
436.42;517.93;456.11;426.43;500.00;2;1
438.7;523.04;451.96;421.3;471.48;2;1
443.91;534.86;476.74;428.49;528.11;2;1
462.87;553.61;496.99;444.19;584.44;2;1
418.08;483.34;421.99;411.4;425.12;2;1
437.42;517.47;449.95;409.04;483.75;2;1
446.5;528.87;464.59;422.23;479.51;2;1
442.49;528.46;459.88;440.38;487.95;2;1
548.77;642.64;556.52;533.13;711.28;1;2
495.65;595.72;543.04;447.98;641.43;1;2
489.75;572.01;514.62;484.17;576.55;1;2
442.44;518.95;472.86;418.27;497.25;2;1
519.43;601.53;543.23;532.21;641.45;1;2
516.58;601.14;545.02;551.55;626.67;1;2
486.67;567.88;506.72;459.46;551.21;1;1
473.86;562.25;506.96;493.05;565.49;1;1
538.68;605.9;556.64;532.06;680.63;1;2
538.88;619.33;560.23;585.53;666.88;1;2
590.13;636.53;585.95;597.96;666.67;1;2
465.97;551.75;504.64;449.43;562.31;2;1
475.27;571.42;508.35;487.25;571.84;2;1
462.45;549.33;494.01;440.51;542.67;2;1
503.58;561.41;495.72;480.3;590.29;1;1
447.52;539.93;478.61;418;488.37;2;1
455.09;529.56;478.14;431.67;497.92;2;1
483.87;579.85;510.22;453.82;554.00;1;1
444.56;516.01;475.03;424.01;484.49;2;1
461.18;532.63;494.49;439.94;527.58;2;1
441.68;521.63;469.43;422.14;493.08;2;1
451.76;531.49;478.97;432.26;511.08;2;1
441.42;520.6;473.43;424.77;494.39;2;1
446.62;525.22;471.27;428.26;497.66;2;1
446.41;529.53;474.48;417.97;489.44;2;1
449.38;524.58;470.17;423.24;502.35;2;1
464.56;540.38;480.4;446.83;524.39;2;1
440.94;511.87;466.54;408.23;520.59;2;1
453.9;522.3;479.37;437.6;522.93;2;1
453.94;533.89;482.11;440.48;530.13;2;1
448.89;537.25;469.23;424.38;490.00;2;1
447.64;540.88;475.39;431.58;531.43;2;1
435.84;507.05;453.94;424.16;487.60;2;1
441.72;524.95;467.45;440.32;488.44;2;1
458.81;552.74;496.21;458.3;527.10;1;1
409.84;493.8;422.82;403.16;467.14;2;1
427.5;513.2;446.67;414.43;478.62;2;1
452.42;518.1;464.51;437.98;480.00;2;1
431.96;527.1;470.22;432.39;520.00;2;1
416.56;510.77;456.72;415.04;498.16;2;1
425.15;504.48;435.52;397.76;475.00;2;1
426.56;501.6;449.33;408.86;500.46;2;1
449.32;534;469.31;434.61;504.64;2;1
466.58;552.34;489.65;454.19;549.09;2;1
422.68;507.96;433.32;400.23;456.11;2;1
431.03;507.95;442.43;426.48;511.11;2;1
445.39;522.69;459.96;423.76;502.43;2;1
432.45;514.15;446.42;415.68;506.67;2;1
432.24;528.67;460.73;408.85;540.63;2;1
413.67;498.18;430.82;378.67;489.09;2;1
424.11;527.98;438.09;396.31;502.50;2;1
430.8;516.46;447.91;411.94;461.85;2;1
425.72;500.35;448.2;412.9;491.67;2;1
423.3;508.39;434.92;403.91;467.19;2;1
474.68;577.75;513.86;442.86;595.76;1;1
